©️	しーまーく
™️	てぃーえむまーく
ℹ️	あいまーく,あい
⏬	こうそくかぼたん
Ⓜ️	えむ
☸️	てんぼうりん
☹️	しかめっつら
♟️	すてこま
⚰️	し
⚱️	し
⛈️	いなづま
⛎	へびやざ
⛑️	しろじゅうじへるめっと,しろじゅうじ
⛹️‍♀️	じょせい
⛹️‍♂️	だんせい
❤️‍🔥	やるき,ねつい,ふんき
❤️‍🩹	ちりょうちゅう,つらい,かいふくちゅう,どうじょう
➗	われる
〰️	はせん
〽️	あんてん
㊗️	しゅくまーく,しゅく
🅰️	けつえきがたえーがた
🆎	えーびーがた,けつえきがたえーびーがた
🆒	くーるまーく
🆓	ふりーまーく
🆔	あいでぃーまーく,あいでぃ─
🆕	にゅーまーく
🆗	おーけーまーく
🆙	あっぷまーく
🆚	ぶいえすまーく
🇦🇨	ふらぐ,ふらっぐ,こっき
🇦🇩	ふらぐ,ふらっぐ,こっき
🇦🇪	ふらぐ,ふらっぐ,こっき,あらぶ
🇦🇫	ふらぐ,ふらっぐ,こっき
🇦🇬	ふらぐ,ふらっぐ,こっき
🇦🇮	ふらぐ,ふらっぐ,こっき
🇦🇱	ふらぐ,ふらっぐ,こっき
🇦🇲	ふらぐ,ふらっぐ,こっき
🇦🇴	ふらぐ,ふらっぐ,こっき
🇦🇶	ふらぐ,ふらっぐ,こっき,なんきょくたいりく
🇦🇷	ふらぐ,ふらっぐ,こっき
🇦🇸	ふらぐ,あめりかりょうさもあ,ふらっぐ,こっき
🇦🇹	ふらぐ,ふらっぐ,こっき
🇦🇺	ふらぐ,ふらっぐ,こっき
🇦🇼	ふらぐ,ふらっぐ,こっき
🇦🇽	ふらぐ,ふらっぐ,こっき
🇦🇿	ふらぐ,ふらっぐ,こっき
🇧🇦	ふらぐ,ふらっぐ,こっき
🇧🇧	ふらぐ,ふらっぐ,こっき
🇧🇩	ふらぐ,ふらっぐ,こっき
🇧🇪	ふらぐ,ふらっぐ,こっき
🇧🇫	ふらぐ,ふらっぐ,こっき
🇧🇬	ふらぐ,ふらっぐ,こっき
🇧🇭	ふらぐ,ふらっぐ,こっき
